name,city,state,zipcode,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,minimum_nights,number_of_reviews,review_scores_rating
Charming Victorian twin BR for 2,Asheville,NC,28804,35.65145876,-82.6279183,House,Private room,1,1,2,Real Bed,$60.00 ,$0.00 ,2,120,96
French Industrial Chic Loft,Asheville,NC,28801,35.5970064,-82.55237012,Loft,Entire home/apt,2,3,6,Real Bed,$765.00 ,$0.00 ,1,92,95
Downtown Asheville's Groovy Gem.,Asheville,NC,28801,35.60529127,-82.55627389,House,Entire home/apt,1,2,2,Real Bed,$225.00 ,$75.00 ,30,0,
"Walk to town, Pets OK!",Asheville,NC,28801,35.60670322,-82.55562579,Apartment,Entire home/apt,1,1,1,Real Bed,$65.00 ,$0.00 ,30,83,90
Energy Efficient Historic Home ,Asheville,NC,28801,35.60346328,-82.5603554,House,Private room,2.5,1,3,Real Bed,$220.00 ,$75.00 ,30,3,100
Cottage! BonPaul + Sharky's Hostel,Asheville,NC,28806,35.57972209,-82.59617193,Guesthouse,Entire home/apt,1,1,1,Real Bed,$107.00 ,$15.00 ,1,181,88
"Private Room ""Ader"" at BPS Hostel",Asheville,NC,28806,35.57755366,-82.59697007,House,Private room,2.5,1,1,Real Bed,$71.00 ,,1,48,88
"Mixed Dorm ""Top Bunk #1"" at BPS Hostel",Asheville,NC,28806,35.57775534,-82.59499555,House,Shared room,2.5,1,1,Real Bed,$26.00 ,$0.00 ,1,198,93
Historic Grove Park,Asheville,NC,28801,35.61441737,-82.54126653,House,Private room,1,1,1,Real Bed,$125.00 ,$30.00 ,30,58,99
Terrace Cottage,Asheville,NC,28804,35.61855959,-82.55275898,Guest suite,Entire home/apt,1,1,2,Real Bed,$134.00 ,$45.00 ,30,53,98
Blue Gate Lodging,Asheville,NC,28806,35.58345426,-82.5971323,Bungalow,Private room,1,2,2,Real Bed,$58.00 ,$25.00 ,2,116,97
Asheville Dreamer's Cabin,Asheville,NC,28805,35.59635171,-82.50655071,Cabin,Private room,1,1,1,Real Bed,$65.00 ,$65.00 ,3,54,94
"Private, peaceful, and free goat therapy",Asheville,NC,28805,35.61929386,-82.48114009,Apartment,Entire home/apt,1,1,1,Real Bed,$68.00 ,$25.00 ,2,415,98
Lovely Apt. Near Downtown and Blue Ridge Parkway!,Asheville,NC,28803,35.55294005,-82.48995111,Apartment,Entire home/apt,1.5,1,1,Real Bed,$60.00 ,$40.00 ,2,207,99
PET FRIENDLY APT CLOSE TO DOWNTOWN,Asheville,NC,28806,35.60440692,-82.59997284,Guest suite,Entire home/apt,1,1,2,Real Bed,$100.00 ,$50.00 ,2,35,91
primo apt in downtown Asheville!,Asheville,NC,28801,35.59086512,-82.55142654,Apartment,Entire home/apt,1,1,1,Real Bed,$250.00 ,$50.00 ,2,161,100
The Fern Street Apt near Biltmore,Asheville,NC,28803,35.55537421,-82.53539067,Apartment,Entire home/apt,1,1,1,Real Bed,$50.00 ,$50.00 ,28,30,93
REFOCUS COTTAGE- available now!,Asheville,NC,28804,35.64452947,-82.52585863,Guesthouse,Entire home/apt,1,2,2,Pull-out Sofa,$279.00 ,$89.00 ,30,23,98
"Blue Ridge Parkway, close to Downtown!",Asheville,NC,28803,35.5532642,-82.49139107,House,Entire home/apt,1,1,2,Real Bed,$100.00 ,$50.00 ,2,104,99
ATHENA'S LOFT:  Find yourself here!,Asheville,NC,28806,35.58217067,-82.59996829,Guest suite,Entire home/apt,1,1,2,Real Bed,$76.00 ,$35.00 ,1,433,97
Luxurious Mountain Guest Suite Apartment,Asheville,NC,28803,35.4911126,-82.48437728,Guest suite,Entire home/apt,1,1,1,Real Bed,$125.00 ,$50.00 ,2,34,99
